symbol	dNdS_macaque	CODING_GERP	PROMOTER_GERP	glen	cancer_gene	PPI_DGR	PPI_BTWN	PPI_LLS2HI	median_fetalbrain_rpkm	relevant_go	pLI
CLRN2	0.133517495395948	2.91	-0.25	731	FALSE	16	2.6164419651	1	0	FALSE	2.0187e-06
CLRN3	0.438122332859175	0.31	0.09	713	FALSE	225	3288.04248047	2	0	FALSE	0.039218
CLSPN	0.446952595936795	3.07	0.38	4502	FALSE	679	4333.51806641	16	0	FALSE	0.0025864
CLSTN1	0.0511811023622047	2.65	0.48	3234	FALSE	579	9764.65234375	23	91.374658	FALSE	0.97757
CLSTN2	0.111524163568773	3.21	2.25	3124	FALSE	552	8311.53027344	34	4.434772	FALSE	3.5246e-06
CLSTN3	0.0997732426303855	3.06	0.43	3256	FALSE	419	4397.33349609	22	23.458607	FALSE	0.97016
CLTA	0.324535679374389	4.26	0.86	847	FALSE	756	10633.7431641	22	47.248962	TRUE	0.96319
CLTC	0	4.35	3.63	5561	FALSE	75	77.1874694824	4	49.688478	FALSE	1
CLTCL1	0.325452016689847	1.9	-1.42	5522	FALSE	1290	23241.8183594	58	1.417461	FALSE	2.5101e-37
CLU	0.246658566221142	1.47	-0.09	1648	FALSE	1370	32737.9394531	48	17.788555	FALSE	7.8072e-05
CLUAP1	0.151898734177215	3.17	0	1563	FALSE	327	10550.4785156	4	11.881344	FALSE	0.0004184
CLUH	0.101863892501084	3.33	1.36	4453	FALSE	626	9169.265625	15	9.521911	FALSE	0.99474
CLVS1	0.0479452054794521	3.87	1.92	1129	FALSE	309	3765.56518555	14	7.262669	FALSE	0.85398
CMA1	0.350299401197605	0.63	0.6	808	FALSE	584	4956.0390625	8	0	FALSE	7.5861e-09
CMAS	0.0685358255451713	3.62	1.02	1417	FALSE	412	8761.58300781	23	24.52661	FALSE	0.56141
CMBL	0.403785488958991	1.86	-0.46	802	FALSE	491	8867.92089844	4	4.453197	FALSE	0.00011148
CMIP	0.0287769784172662	3.76	-0.2	2694	FALSE	322	5738.73388672	19	42.86781	FALSE	0.99999
CMKLR1	NA	2.16	0.52	1138	FALSE	451	5052.37402344	5	0	TRUE	0.010767
CMPK1	0.127619934792734	3.58	0.53	781	FALSE	853	10904.6513672	22	25.448202	FALSE	0.84789
CMTM2	0.75527950310559	-1.03	-1.27	795	FALSE	239	3804.71875	0	0	FALSE	2.9425e-05
CMTM3	0.0890973036342321	2.02	-0.38	821	FALSE	272	5186.17041016	8	4.974602	FALSE	0.00014974
CMTM5	0.382154882154882	3.25	0.32	752	FALSE	563	9935.76171875	27	0	FALSE	0.065782
CMTM8	0.445086705202312	3.28	-0.03	570	FALSE	245	3972.61401367	6	0	FALSE	0.059614
CMTR1	0.00875656742556918	3.77	1.34	2860	FALSE	147	1366.72241211	6	9.204176	FALSE	0.99252
CMTR2	0.282937365010799	3.32	-0.8	2313	TRUE	154	1019.16937256	3	3.208355	FALSE	5.3475e-10
CMYA5	0.691449814126394	1.41	1.05	12402	FALSE	576	18781.9257812	6	0	FALSE	1.3454e-54
CNBD1	0.660181582360571	0.93	0.55	1471	TRUE	99	1308.34313965	7	0	FALSE	4.4866e-18
CNBD2	0.593137254901961	1.29	0.38	1907	FALSE	611	2668.25610352	26	0	FALSE	3.8389e-17
CNDP2	0.119650655021834	2.2	-0.62	1988	FALSE	801	20726.9941406	16	20.093933	FALSE	1.0067e-07
CNEP1R1	0.12406015037594	4.08	0.14	527	FALSE	125	464.93927002	9	6.779436	FALSE	0.40866
CNFN	0	2.89	0.38	371	FALSE	253	4582.82763672	3	0	FALSE	0.026008
CNGA2	0.204188481675393	3.32	1.04	2075	FALSE	438	14679.9306641	13	0	FALSE	0.00098232
CNGA3	0.120152091254753	2.34	-0.3	2362	FALSE	480	9154.25390625	21	0	FALSE	8.0327e-20
CNGB1	0.300918836140888	1.66	0.68	4286	FALSE	479	9119.93554688	19	0	FALSE	1.8369e-37
CNGB3	0.373927958833619	2.04	2.53	2770	FALSE	374	5721.44970703	11	0	FALSE	7.7723e-19
CNIH2	0	3.85	0.92	567	FALSE	669	8671.93847656	34	82.941557	FALSE	0.95171
CNKSR1	0.503267973856209	2.11	0.6	2483	FALSE	297	2037.80029297	13	0	FALSE	4.289e-30
CNKSR2	0.0115606936416185	4.35	2.33	3454	FALSE	728	15431.5380859	61	7.362118	FALSE	0.99996
CNN1	0.309934899518823	2.8	1.03	1270	FALSE	653	5747.96142578	29	0	FALSE	0.13803
CNN2	0.13784465051972	2.03	0.49	1344	FALSE	664	10198.3730469	20	5.941026	TRUE	0.024399
CNNM1	0.0804911323328786	3.2	2.5	3095	FALSE	489	7035.57519531	17	1.451597	FALSE	0.017607
CNNM2	0.0541125541125541	3.67	1.91	2786	FALSE	597	11844.4570312	16	3.299408	FALSE	0.99521
CNNM3	0.06456571867794	2.35	1.67	2236	FALSE	407	5290.04492188	9	6.122541	FALSE	2.1173e-07
CNNM4	0.0434782608695652	2.31	1.1	2520	FALSE	620	12641.6025391	13	4.809803	FALSE	2.9325e-07
CNOT1	0.157598499061914	4.6	3.04	8136	FALSE	1358	27938.8808594	74	18.816099	TRUE	1
CNOT10	0.127789046653144	3.69	1.23	2740	FALSE	242	1565.11230469	8	5.091399	FALSE	0.98194
CNOT11	0.343921139101862	3.62	1.34	1629	FALSE	244	2220.97070312	6	5.784082	FALSE	0.59693
CNOT2	0	5.09	2.43	1910	FALSE	806	12820.6259766	33	5.8997	TRUE	0.99981
CNOT3	0.32420872540633	2.7	1.57	2823	TRUE	819	11055.9423828	54	6.595805	FALSE	1
CNOT4	0.372693726937269	4.83	3.17	2476	FALSE	764	11081.5273438	29	5.989226	FALSE	0.99996
CNOT6L	0.400862068965517	4.89	1.39	1945.667	FALSE	599	10502.6787109	23	5.105626	FALSE	0.99821
CNOT7	0	4.09	1.06	944	FALSE	630	7391.54150391	19	11.205159	TRUE	0.99686
CNOT8	0	3.97	0.87	959	FALSE	605	10453.5126953	17	24.69261	FALSE	0.21741
CNOT9	0.0427807486631016	4.33	1.58	1178	FALSE	476	4970.16650391	16	11.270718	FALSE	0.98565
CNPPD1	0.423868312757202	2.84	-0.09	1426	FALSE	547	4733.51367188	14	27.827942	FALSE	7.6384e-09
CNPY3	0.113808801213961	2.63	-0.12	917	FALSE	224	2036.48352051	5	26.262196	FALSE	0.39757
CNR2	0.150039277297722	2.28	-0.38	1083	FALSE	750	9141.5546875	26	0	FALSE	6.5369e-06
CNST	0.454545454545455	1.92	1.66	2337	FALSE	117	539.942260742	3	6.340356	FALSE	1.238e-06
CNTD1	0.668896321070234	3.16	-0.01	1146	FALSE	126	606.219482422	1	3.435242	FALSE	0.0045358
CNTLN	0.429193899782135	3.01	1.63	4769.667	FALSE	450	7214.80615234	18	0	FALSE	3.9521e-49
CNTN1	0.0365853658536585	3.07	1.7	3497	FALSE	1244	23601.3710938	72	39.853144	TRUE	0.15131
CNTN2	0.0547770700636943	3.01	1.74	3459	FALSE	1611	42060.484375	90	10.524233	TRUE	0.0021095
CNTN3	0.124649859943978	2.67	2.84	3423	FALSE	817	15061.2578125	37	1.805813	TRUE	1.9893e-05
CNTN4	0.257985257985258	2.98	0.76	3537	FALSE	984	32670.1503906	53	2.385158	TRUE	3.3013e-06
CNTN5	0.0955414012738854	3.37	0.99	3791	FALSE	732	16020.3935547	34	0	TRUE	6.1963e-05
CNTN6	0.204903677758319	2.65	2.48	3423	FALSE	983	16883.5996094	58	0	TRUE	9.0232e-31
CNTNAP1	0.0547045951859956	3.11	0.77	4523	FALSE	557	5017.80126953	46	1.012239	TRUE	3.445e-05
CNTNAP2	0.0697984354299413	2.84	-1.02	4444	FALSE	843	15620.6542969	87	17.519141	TRUE	2.8673e-09
CNTNAP4	0.294921875	2.57	-0.14	4410	FALSE	5	0.347887635231	1	4.187044	FALSE	7.7552e-07
CNTNAP5	0.144557823129252	3.13	1.25	4289	FALSE	474	6660.24511719	33	1.843004	FALSE	0.99167
CNTRL	0.324009324009324	2.96	1.67	7660	FALSE	785	11070.5830078	33	1.148682	FALSE	1.8908e-54
CNTROB	0.263374485596708	2.58	-0.22	3073	FALSE	203	1765.70495605	5	11.499396	FALSE	1.8222e-16
COA1	1.00375234521576	0.51	-1.18	506	FALSE	125	572.315979004	1	2.375915	FALSE	0.0088335
COA6	0.457839844440516	1.48	-0.63	630	FALSE	472	3890.77563477	2	7.359552	FALSE	0.0056851
COASY	0.128630705394191	2.64	-0.67	1926	FALSE	1185	22134.6191406	16	12.743356	FALSE	8.0903e-10
COBL	0.380552220888355	0.65	0.52	4630	FALSE	380	7141.53027344	13	0	FALSE	0.0039121
COBLL1	0.415730337078652	2.6	0.78	4145	FALSE	379	5454.28662109	5	0	FALSE	0.046671
COCH	0.0455696202531646	3.71	0.16	1978	FALSE	446	6386.06298828	16	4.359121	TRUE	1.2365e-07
COG1	0.0961038961038961	2.11	0.7	3151	FALSE	454	5743.10888672	10	10.466774	FALSE	4.9379e-08
COG4	0.0743801652892562	4.02	0.49	2690	FALSE	429	5808.93701172	8	18.403667	FALSE	3.9748e-09
COG5	0.284427284427284	3.41	-0.73	2925	FALSE	447	6295.00537109	7	6.019509	FALSE	9.7667e-20
COG6	0.17741935483871	3.44	-0.91	2354	FALSE	482	8402.20996094	10	2.443145	FALSE	6.3567e-16
COG7	0.309197651663405	2.12	0.19	2569	FALSE	451	5538.93701172	14	5.230757	FALSE	2.5926e-07
COG8	0.264102564102564	3.3	-0.12	1926	FALSE	327	2182.70483398	6	7.509725	FALSE	2.9725e-09
COL11A1	0.174772036474164	3.65	2.56	6688	FALSE	770	15440.7861328	43	2.273234	TRUE	1
COL11A2	0.355151515151515	2.69	2.01	6326	FALSE	652	14036.3046875	41	0	TRUE	0.70197
COL12A1	0.128623188405797	3.37	1.58	10435	FALSE	786	14244.5185547	32	1.081871	TRUE	0.97361
COL13A1	0.344667697063369	3.2	1.8	2850	FALSE	384	5942.99853516	26	0	FALSE	3.7355e-14
COL14A1	0.285591026747196	2.96	1.02	6309	FALSE	531	7829.26660156	24	0	FALSE	1.4327e-14
COL15A1	0.340643274853801	1.91	-0.9	4823	FALSE	489	6257.89306641	16	0	FALSE	2.5406e-08
COL16A1	0.32781954887218	2.51	0.78	6269	FALSE	517	5480.5625	20	0	FALSE	2.9031e-24
COL17A1	0.475941422594142	2.62	2.11	5390	FALSE	547	11082.6191406	26	0	FALSE	2.2869e-27
COL18A1	0.397186240619117	0.98	-0.24	6043	FALSE	869	12104.5976562	37	2.026814	FALSE	1.7414e-10
COL19A1	0.262081784386617	2.87	1.13	4271	FALSE	NA	NA	NA	0	TRUE	4.8406e-33
COL1A1	0.0688888888888889	2.17	2.6	5352	FALSE	1645	31592.2441406	90	1.545064	TRUE	1
COL1A2	NA	3.27	1.81	4917	FALSE	1257	21361.9199219	71	4.434081	TRUE	1
COL20A1	0.378472222222222	1.04	0.07	4552	FALSE	278	3441.47949219	16	0	FALSE	1.3806e-40
COL21A1	0.162406015037594	2.87	-0.04	3372	FALSE	392	5982.22265625	13	0	FALSE	5.2336e-24
COL22A1	0.0222974338322692	2.18	-0.07	5979	FALSE	515	8267.39453125	30	0	FALSE	4.4899e-45
COL23A1	0.412621359223301	1.71	-0.34	2411	FALSE	289	4407.75048828	12	0	FALSE	6.6455e-13
COL24A1	0.374524714828897	3.1	2.84	6089	FALSE	388	6042.25488281	18	0	FALSE	4.9779e-44
COL25A1	0.303435114503817	3.45	0.13	2850	FALSE	317	2719.38598633	18	1.283261	FALSE	1.6393e-18
COL26A1	NA	2.11	1.17	1520	FALSE	273	4291.38476562	17	7.499107	FALSE	2.9274e-06
COL27A1	NA	1.98	2.53	6641	FALSE	403	6119.74462891	22	0	FALSE	0.5864
COL28A1	0.0174230282920858	1.25	0.69	4058	FALSE	461	6443.57958984	25	0	FALSE	3.6797e-32
COL2A1	0.216117216117216	3.28	2.63	5312	TRUE	1071	16323.6367188	84	0	TRUE	1
COL3A1	0.190677966101695	2.91	3.83	5222	FALSE	1198	25803.9902344	60	2.69194	TRUE	1
COL4A1	0.328320802005013	1.89	1.74	5858	FALSE	1071	22774.0097656	55	11.72886	TRUE	1
COL4A2	NA	1.64	-0.18	5875	FALSE	1019	27724.2402344	44	12.864198	TRUE	3.5842e-15
COL4A3	0.578186596583443	2.19	0.71	5860	FALSE	515	4612.49267578	30	0	TRUE	1.0699e-12
COL4A3BP	0.50713907985193	4.23	1.57	2531	FALSE	383	4970.47119141	26	6.34798	TRUE	0.66702
COL4A4	0.404082049221757	2.12	-0.78	5809	FALSE	512	6546.38427734	28	0	TRUE	6.7123e-16
COL4A5	0.252525252525253	3.63	2.15	5908	FALSE	785	18671.9453125	42	1.262877	TRUE	1
COL4A6	0.36568848758465	2.2	2.23	6358	FALSE	610	13731.4101562	29	0	FALSE	0.89901
COL5A1	0.136854741896759	2.54	1.06	6557	TRUE	866	16193.7724609	46	0	TRUE	1
COL5A2	0.42037037037037	3.39	3.56	5348	FALSE	771	11687.3457031	40	3.042852	TRUE	1
COL5A3	0.397973950795948	1.73	0.39	6294	TRUE	488	9627.50390625	17	0	TRUE	3.3468e-20
COL6A1	0.107254290171607	2.07	-0.66	3631	FALSE	894	24289.7246094	34	17.232182	TRUE	0.99995
COL6A2	0.125379170879676	2.19	-0.02	3870	FALSE	725	12403.328125	30	4.401852	TRUE	6.5112e-08
COL6A3	0.128509719222462	1.97	0.87	10287	FALSE	721	11166.5898438	37	0	TRUE	1.8131e-20
COL6A5	NA	1.47	0.31	8522	FALSE	273	3539.52978516	11	0	FALSE	5.609e-45
COL6A6	0.29196927926617	1.93	1.8	7382	FALSE	394	7784.88427734	24	0	FALSE	8.4528e-46
COL7A1	0.370892018779343	2.18	0.42	10778	FALSE	641	17594.5195312	31	0	FALSE	2.4411e-40
COL8A1	0.121212121212121	3.35	1.84	2251	FALSE	526	9583.79785156	17	0	FALSE	0.4051
COL8A2	0.0826161790017212	2.51	0.68	2128	FALSE	422	6051.35058594	18	0	FALSE	0.11765
COL9A1	0.2432	3.14	1.38	3505.667	FALSE	438	4699.00390625	36	0	TRUE	3.0742e-19
COL9A2	0.644165863066538	2.84	0.23	2567	FALSE	516	10158.2792969	24	4.754518	TRUE	1.0453e-08
COL9A3	0.527325023969319	1.92	-0.65	2595	FALSE	417	5393.5625	18	2.515121	TRUE	3.278e-12
COLEC12	0.0555555555555556	3.56	0.18	2373	FALSE	358	5612.92675781	2	2.833138	FALSE	0.90761
COLGALT1	0.156422524843577	2.54	-0.43	2045	FALSE	278	4245.83496094	11	11.544716	FALSE	5.9074e-08
COLGALT2	0.187368421052632	3.09	0.62	2169	FALSE	348	5952.35351562	17	2.454636	FALSE	1.0935e-10
COLQ	0.106177606177606	3.04	0.43	1934	FALSE	249	2172.58398438	15	0	FALSE	7.9356e-14
COMMD1	0.387945077961368	3.68	1.58	631	FALSE	680	16241.3447266	13	5.568218	FALSE	0.2201
COMMD10	0.106100795755968	3.33	0.19	705	FALSE	518	8086.28027344	10	4.77458	FALSE	6.4803e-12
COMMD2	0.0658064516129032	3.16	0.19	664	FALSE	228	769.563232422	3	14.501324	FALSE	2.5421e-09
COMMD4	0.0704697986577181	2.62	-0.61	820.6667	FALSE	365	3185.48144531	7	7.605117	FALSE	0.00032013
COMMD5	0.204465334900118	1.63	-0.5	675	FALSE	309	3303.59082031	3	6.678489	FALSE	1.497e-05
COMP	0.116677653263019	2.06	0.74	2562	FALSE	474	4205.84619141	23	0	TRUE	1.3462e-09
COMT	0.208732694355698	0.85	-0.09	957	FALSE	1301	33957.8359375	61	8.668585	TRUE	1.1377e-06
COP1	0.0693430656934307	4.07	1.56	2500	FALSE	911	15158.2724609	42	12.429456	FALSE	0.99994
COPA	0.487199379363848	3.89	1.4	4214	FALSE	638	7526.03857422	22	30.354699	FALSE	1
COPB1	0.0113636363636364	4.22	0.39	3184	FALSE	1373	36152.6601562	43	23.664143	FALSE	0.99994
COPB2	0.13785046728972	3.99	0.17	3059	FALSE	956	17107.0625	28	11.033985	FALSE	1
COPE	0.0154320987654321	2.68	0.57	1156	FALSE	812	11393.4404297	21	109.723677	FALSE	0.69249
COPG1	0.533299569511269	3.17	0.4	2993	FALSE	973	14497.5839844	43	32.075411	FALSE	0.17472
COPS2	0.208333333333333	4.72	2.23	1545	FALSE	1045	14900.5458984	30	15.815892	TRUE	0.99997
COPS3	0.180327868852459	3.92	1.38	1557	FALSE	726	9962.57910156	21	29.737936	TRUE	0.99949
COPS4	0	4.21	2.04	1641	FALSE	955	10655.2998047	16	15.377322	FALSE	0.99886
COPS6	0.0799418604651163	3.59	1.79	1130	FALSE	1174	16777.4199219	35	36.501397	FALSE	0.98666
COPS7A	0.079295154185022	3.59	0.52	1039	FALSE	467	4449.65869141	10	11.292565	FALSE	0.043607
COPS7B	0.608256107834878	3.77	2.17	1190	FALSE	409	3249.10888672	10	7.219527	FALSE	0.60071
COPS8	0	2.85	0.46	742	FALSE	592	6779.87207031	7	12.662705	FALSE	0.72485
COPS9	0.248118199388415	1.25	0.13	827	FALSE	177	927.664916992	2	18.476949	FALSE	0.0013405
COPZ2	0.148148148148148	3	1.19	761	FALSE	12	4.09698200226	1	0	FALSE	7.4565e-08
COQ10A	0.612547689699025	3.01	1.36	937	FALSE	332	2446.2956543	5	3.538156	FALSE	0.00036102
COQ10B	0.228728270814273	3.29	-0.6	809	FALSE	334	2485.99316406	4	5.206925	FALSE	0.29421
COQ2	0.437828371278459	2.01	-0.55	1406	FALSE	775	9802.37011719	13	3.57753	FALSE	0.0013386
COQ3	0.608955223880597	2.44	1.25	1206	FALSE	957	19069.1054688	11	8.521754	FALSE	2.4344e-08
COQ4	0.301850048685492	1.26	-0.79	1104	FALSE	275	2233.87988281	6	5.423877	FALSE	3.3961e-09
COQ6	0.152272727272727	3.08	0.57	1771	FALSE	678	8345.55371094	11	2.159222	FALSE	4.3324e-15
COQ7	0.357582121753076	2.45	-0.96	746	FALSE	492	3886.05810547	7	8.576316	TRUE	3.808e-06
COQ8A	0.0598455598455598	2.89	0.22	2152	FALSE	449	4787.89599609	7	3.06575	FALSE	9.2856e-11
COQ8B	0.209183673469388	2.27	0.21	1844	FALSE	437	6139.28271484	9	10.305359	FALSE	2.8159e-13
CORIN	0.265432098765432	2.51	0.52	3713	FALSE	518	8057.62304688	22	0	FALSE	6.5072e-35
CORO1A	0.0450958286358512	3.38	-0.43	1654	FALSE	1301	34921.375	33	26.842848	FALSE	0.97024
CORO1B	0.0243407707910751	2.22	1.02	1826	FALSE	813	11934.9873047	28	11.583499	FALSE	4.5885e-05
CORO1C	0.0615384615384615	3.43	0.1	1750.667	FALSE	832	12566.4404297	31	33.361489	FALSE	0.99813
CORO2A	0.103134479271992	2.71	0.21	1738	FALSE	725	10876.8574219	33	1.964608	FALSE	3.4457e-10
CORO2B	0.0313778990450205	3.5	0.26	1619	FALSE	1109	22555.1757812	52	34.085631	FALSE	0.056849
CORO6	0.248115299334812	3.73	1.07	1760	FALSE	821	14395.2177734	32	0	FALSE	7.1605e-07
CORO7	NA	2.31	0.17	3523	FALSE	175	844.732849121	3	0	FALSE	1.8292e-25
COX11	0.657657657657658	2.37	0	924	FALSE	538	8323.11230469	11	6.716132	FALSE	0.016088
COX14	NA	2.86	-0.72	174	FALSE	266	1512.39489746	1	6.477684	FALSE	0.3573
COX15	0.576345431789737	2.99	-0.86	1435	FALSE	569	6018.52099609	6	9.917491	FALSE	1.1031e-13
COX18	0.5072	2.1	-1.54	1087	FALSE	949	13268.9765625	11	5.111149	FALSE	6.0435e-15
COX20	NA	3.05	-0.31	457	FALSE	218	2536.42797852	4	16.15411	FALSE	0.020118
COX4I1	0.338675213675214	2.22	0.1	621	FALSE	1091	24227.5761719	32	269.8534	FALSE	0.39416
COX6B1	0.297403619197482	3.4	-0.73	293	FALSE	759	11882.09375	10	144.151194	FALSE	0.12065
COX7A2	NA	2.32	0.02	625	FALSE	626	6903.60644531	14	39.701384	FALSE	0.0045177
COX7A2L	0.217198167833377	2.74	0.86	517	FALSE	336	2104.43994141	4	23.941138	FALSE	1.1516e-06
COX8A	1.12212943632568	2.06	0	226	FALSE	578	7915.05419922	19	140.760432	FALSE	0.11606
CP	0.293542074363992	2.46	1.89	3742	FALSE	941	15847.0761719	16	0	FALSE	4.2013e-10
CPA1	0.167055167055167	2.25	0.74	1433	FALSE	496	8304.46582031	11	0	FALSE	2.6567e-11
CPA2	0.523206751054852	2.64	1.7	1420	FALSE	423	7760.70458984	7	0	FALSE	1.4033e-15
CPA3	0.31047619047619	2.27	0.22	1414	FALSE	492	9727.41601562	6	0	FALSE	2.0416e-16
CPA5	0.135782747603834	2.68	0.72	1471	FALSE	313	3988.84765625	5	0	FALSE	0.00018213
CPA6	0.244485294117647	3.45	2.23	1584	FALSE	239	2059.9621582	15	0	FALSE	4.3984e-17
CPAMD8	0.242471042471042	0.54	0.04	6612	FALSE	226	2343.53833008	4	0	FALSE	6.9237e-23
CPB2	0.577371048252912	2.41	1.22	1432	FALSE	605	9603.27441406	7	0	FALSE	2.7076e-17
CPE	0.0522648083623693	3.3	0.17	1559	FALSE	987	17886.6386719	52	160.074692	FALSE	0.99233
CPEB1	0.106583072100313	3.96	0.62	2219	FALSE	3	0.0151582276449	0	0	FALSE	0.99899
CPEB2	0.170418006430868	3.69	1	3309	FALSE	313	2599.16894531	16	4.526827	FALSE	0.00013675
CPEB3	0.0627306273062731	3.8	3.67	2260	FALSE	NA	NA	NA	2.92958	TRUE	0.99846
CPEB4	0.0216216216216216	4.29	2.82	2367	FALSE	422	5546.25244141	18	10.912222	FALSE	0.98555
CPED1	0.413510747185261	2.39	0.84	3546	FALSE	150	1894.70678711	0	0	FALSE	1.8689e-24
CPLANE1	0.518353726362625	1.63	0.77	10458	FALSE	156	1234.24633789	8	2.832299	FALSE	5.8778e-36
CPLANE2	0.152302243211334	2.91	0.47	841	FALSE	1248	16381.0205078	44	3.33748	FALSE	8.8551e-06
CPN1	0.343169398907104	2.51	1.12	1505	FALSE	373	3438.91552734	9	0	FALSE	8.6973e-08
CPN2	0.197201017811705	1.43	0.83	1638	FALSE	503	3115.5793457	16	0	FALSE	0.0026009
CPNE1	0.390129259694477	3.39	2.79	1871	FALSE	319	4277.09472656	9	19.80945	FALSE	1.7292e-14
CPNE2	0.0269662921348315	3.35	1.23	1871	FALSE	177	1398.68347168	7	29.352939	FALSE	0.0013021
CPNE3	0.0798722044728434	3.7	-0.98	1838	FALSE	1	0	0	11.324404	FALSE	1.7777e-25
CPNE4	0.233940042826552	3.83	0.69	1968	FALSE	16	5.91722679138	3	3.384925	FALSE	0.085866
CPNE5	0.0724358974358974	3.27	0.41	2102	FALSE	328	3081.1003418	17	10.407275	FALSE	0.00037837
CPNE6	0.0310880829015544	2.93	1.53	2161	FALSE	905	9930.92480469	51	2.688848	TRUE	0.15298
CPNE7	0.2516523257264	1.76	0.14	2201	FALSE	182	2010.35839844	8	1.521127	FALSE	4.2743e-24
CPNE8	0.0356612184249629	2.88	-0.1	2069	FALSE	304	4519.95996094	10	1.033775	FALSE	0.0080248
CPNE9	0.278304870335231	3.35	1.61	2026	FALSE	566	5394.05175781	36	0	FALSE	3.4898e-08
CPO	0.282442748091603	1.94	0.25	2714	FALSE	173	1271.51611328	1	0	FALSE	7.271e-21
CPOX	0.588972431077694	2.64	-1.13	1461	FALSE	866	11954.1865234	18	6.57208	FALSE	0.17152
CPPED1	0.110994213571804	2.37	-0.44	993	FALSE	425	5075.47607422	10	2.336772	FALSE	2.3183e-07
CPQ	0.581881533101045	2.36	-0.43	1515	FALSE	296	3113.77709961	10	1.105322	FALSE	1.3154e-14
CPS1	0.116630669546436	3.61	-0.37	5129	FALSE	1086	22172.4804688	15	0	FALSE	1.0947e-09
CPSF1	0.060899922420481	3.04	-0.36	4908	FALSE	8	6.99885892868	1	11.009289	FALSE	3.1043e-10
CPSF3	0.0542521994134897	3.62	0.01	2327	FALSE	1321	15599.7753906	46	9.987556	FALSE	3.0292e-07
CPSF4	0	4.24	0.19	1072	FALSE	870	11980.6269531	38	6.225512	FALSE	0.26766
CPSF4L	0.366588419405321	1.49	-0.49	803	FALSE	327	1314.44995117	16	0	FALSE	0.0016119
CPSF6	0	4.23	2.42	1934	FALSE	820	13991.4013672	38	15.724152	FALSE	0.99982
CPSF7	0.455230914231857	4.18	1.64	1673	FALSE	685	6531.28613281	43	12.178466	FALSE	0.99873
CPT1A	0.129932627526468	1.95	-0.04	2661	FALSE	757	8652.875	21	1.181929	FALSE	5.114e-09
CPT1B	0.302077484559236	2.8	0.1	2593	FALSE	581	6805.04003906	13	1.996697	FALSE	1.5291e-11
CPT1C	0.0350631136044881	1.76	0.15	2744	FALSE	524	6103.04589844	17	20.455049	FALSE	2.1926e-09
CPXM1	0.147684605757196	2.55	0.11	2413	FALSE	273	2744.46826172	11	5.989402	FALSE	3.7553e-12
CPZ	0.0916083916083916	1.76	-0.11	2178	FALSE	356	4364.75390625	11	0	FALSE	8.8063e-36
CR1	0.444444444444444	0.26	-1.17	8206	FALSE	609	5913.77001953	3	0	FALSE	1.6488e-35
CR1L	NA	-0.02	-1.19	1886	FALSE	262	3743.17211914	3	0	FALSE	7.6434e-27
CR2	0.539017341040462	1.11	-0.13	3567	FALSE	716	5702.83691406	19	0	FALSE	4.7399e-19
CRACR2A	0.318233295583239	1.9	-0.63	2648	FALSE	455	8385.81445312	12	0	FALSE	7.4288e-12
CRACR2B	0.204338698390483	1.13	-0.05	1328	FALSE	90	593.983764648	1	0	FALSE	3.6358e-11
CRADD	0.322515212981744	2.7	1.63	853	FALSE	359	6034.38671875	1	1.327305	FALSE	0.87862
CRAMP1	0.107173725151253	2.02	0.98	4184	FALSE	144	1193.55358887	9	4.984399	TRUE	0.050239
CRAT	0.0602739726027397	2.76	0.17	2322	FALSE	405	2383.40039062	8	12.011459	FALSE	9.4796e-12
CRB1	0.429672447013487	1.46	0.53	4566	FALSE	1024	19756.7011719	79	1.187109	FALSE	5.6266e-16
CRB2	0.184210526315789	1.53	0.58	4258	FALSE	956	15406.6494141	72	2.564479	FALSE	1.4884e-14
CRB3	0.677551020408163	1.3	0.68	483	FALSE	185	704.826171875	9	0	FALSE	0.35784
CRBN	0.18005540166205	3.32	1.31	1491	FALSE	379	3063.10913086	17	6.543804	FALSE	0.00028911
CREB1	0	4.31	3	1311	FALSE	2831	107635.296875	198	9.785074	TRUE	0.99673
CREB3	0.460884353741497	1.7	0.76	2583	FALSE	493	5585.99023438	18	26.736748	TRUE	1.8489e-05
CREB3L1	0.125786163522013	3.3	1.8	1809	FALSE	2	0	0	0	TRUE	0.98488
CREB3L2	0.140167364016736	2.17	0.58	2210	FALSE	445	7066.69921875	19	0	TRUE	0.0015297
CREB3L3	0.239183673469388	1	-1.04	1534	FALSE	538	15884.0498047	8	0	FALSE	8.0596e-14
CREB3L4	0.50402144772118	2.3	-1.2	1339	FALSE	366	3881.08349609	10	2.393945	TRUE	5.1401e-06
CREBBP	0.0658174097664544	3.45	1.84	7815	TRUE	2908	130199.859375	214	16.936367	TRUE	1
CREBZF	0.0707070707070707	3.22	1.14	1317	FALSE	215	2548.078125	5	7.196271	FALSE	0.1003
CREG2	0.266245487364621	2.52	-0.78	921	FALSE	303	2942.29736328	18	0	FALSE	7.2973e-05
CRELD1	0.462781954887218	2.94	0.11	1617	FALSE	269	2677.31030273	15	6.10674	FALSE	1.3432e-11
CRELD2	0.121715076071923	0.82	0.49	1371	FALSE	335	4928.27001953	8	3.754671	FALSE	2.7906e-08
CRH	0.102611940298507	2.9	3.99	591	FALSE	1011	13262.7119141	54	0	TRUE	0.71614
CRIM1	NA	3.46	2.3	3391	FALSE	529	9722.96972656	31	7.26857	TRUE	0.99971
